C1A,C1B,C2A,C2B,C3A,C3B,C4A,C4B,L
80,0,0,0,186,0,0,43,2
129,11,0,0,156,33,0,74,2
139,0,0,0,4,0,250,0,1
190,0,49,0,19,25,250,0,1
122,0,27,0,0,25,250,0,1
239,0,0,0,8,0,250,0,1
182,1,0,0,105,11,52,0,1
145,197,51,0,67,96,64,0,2
128,20,0,0,44,153,0,0,2
32,68,0,0,132,42,0,0,2
145,132,45,0,15,161,0,0,2
247,37,61,0,0,144,0,0,2
274,193,266,142,171,29,0,0,2
96,26,66,0,48,18,0,0,2
203,8,0,0,80,135,45,0,1
199,118,0,0,149,76,0,0,1
0,89,0,0,72,59,0,0,1
162,123,0,0,58,132,56,10,1
132,44,38,0,15,66,0,0,1
194,167,67,25,122,14,225,0,2
239,85,185,0,116,36,250,0,2
236,160,139,59,81,79,199,0,2
275,65,169,0,0,105,0,0,2
135,153,0,0,57,42,72,0,2
21,0,0,0,46,146,92,0,1
260,0,229,0,46,153,0,0,1
51,13,0,0,0,112,0,0,1
0,55,0,0,10,0,0,0,2
1,20,0,0,185,0,0,0,2
82,206,0,103,28,0,0,0,2
0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,2
8,0,0,0,0,0,0,0,2
0,232,0,153,0,9,0,0,2
0,47,0,0,0,0,0,0,2
0,0,0,0,0,22,0,0,2
95,0,0,0,0,105,0,0,2
0,0,0,0,26,0,0,0,2
0,0,0,0,75,0,0,0,2
0,0,0,0,28,0,0,0,1
0,0,0,0,0,89,0,0,1
11,0,0,0,0,82,0,0,1
16,0,0,0,0,78,78,0,1
0,0,0,0,15,34,0,0,2
0,0,0,0,118,0,0,0,2
0,0,0,0,5,13,0,0,2
0,0,0,0,12,5,0,0,2
218,10,26,0,0,0,0,0,1
284,31,227,0,0,0,0,0,1
285,22,237,0,0,0,165,0,1
279,150,271,98,0,0,250,0,1
244,13,147,0,0,0,250,0,1
290,96,101,0,0,0,4,0,1
252,129,123,0,0,0,0,0,1
255,256,46,96,0,0,114,0,1
189,56,105,0,0,77,12,0,2
300,193,253,15,0,167,35,0,2
184,51,206,0,0,56,0,110,2
221,196,227,99,0,0,0,0,2
270,223,217,207,0,0,0,0,2
155,101,0,34,0,0,0,0,2
293,174,158,116,0,0,0,0,2
298,229,244,0,0,0,0,0,2
288,48,271,0,0,0,0,0,1
291,0,159,0,0,0,0,63,1
267,40,210,26,0,0,0,74,1
289,271,260,228,0,0,158,0,1
224,233,151,129,0,0,0,0,1
297,197,267,0,0,0,0,0,1
228,42,239,0,7,0,0,0,1
133,5,0,0,1,239,250,0,2
53,130,0,0,0,60,250,0,2
53,7,0,0,39,128,250,0,2
84,112,0,0,54,47,250,0,2
29,0,0,0,0,0,250,0,2
96,0,0,0,0,0,15,0,1
0,74,0,0,0,0,111,0,1
165,24,0,0,0,0,0,0,1
189,34,0,0,0,0,237,0,1
53,60,0,0,0,0,250,0,1
61,109,0,0,0,0,250,0,1
81,156,0,0,0,0,114,0,1
51,108,33,0,0,0,0,0,1
113,0,0,0,0,0,91,0,2
188,0,26,0,0,0,0,102,2
231,0,0,0,0,0,1,85,2
227,83,0,36,0,0,137,0,2
292,247,163,148,0,0,0,0,2
215,251,0,130,0,0,0,0,2
242,72,71,52,0,0,0,0,1
282,145,148,0,0,0,0,0,1
210,42,47,0,0,0,0,0,1
273,81,80,0,0,0,131,0,1
195,105,0,0,0,0,0,0,1
278,108,218,0,26,120,0,85,1
183,83,149,65,4,0,0,0,1
63,0,0,0,28,86,0,0,1
0,0,0,0,0,247,0,161,1
2,0,0,0,0,66,0,138,1
247,175,199,0,0,217,0,103,1
300,142,108,0,10,221,0,0,1
74,106,0,74,0,0,0,0,1
32,0,0,0,0,0,6,0,2
192,15,0,101,0,0,0,0,2
155,83,0,97,0,0,0,0,2
132,0,0,0,0,0,22,0,2
35,161,0,0,0,0,0,0,2
0,27,0,0,0,0,0,0,2
85,106,0,29,0,0,0,0,2
18,90,0,0,0,0,0,0,2
179,121,0,0,0,0,37,0,2
148,0,0,0,0,0,179,0,2
170,0,0,0,0,0,0,0,1
236,0,147,0,0,0,0,0,1
158,16,97,0,0,30,208,0,1
240,0,161,0,3,59,72,0,1
35,0,0,0,2,0,0,0,2
173,111,0,0,0,23,0,0,2
276,129,204,0,47,75,25,0,2
299,122,248,0,119,11,158,63,2
102,65,0,31,112,0,145,0,2
159,0,0,0,0,95,0,250,2
111,0,0,0,210,0,0,168,2
191,0,0,0,98,33,0,0,2
52,0,0,0,15,0,250,0,1
138,15,35,0,22,25,250,0,1
69,0,0,0,0,0,250,0,1
187,0,152,0,4,25,250,0,1
76,0,0,0,53,11,177,0,1
103,0,0,0,57,0,0,0,1
177,113,0,27,26,148,140,0,2
140,159,5,57,83,64,0,0,2
60,28,0,0,152,87,0,0,2
184,29,0,0,0,139,0,0,2
234,150,184,0,30,147,0,0,2
267,115,267,0,74,112,0,0,2
148,78,127,133,114,30,0,0,2
47,0,0,0,95,73,0,0,1
131,43,0,0,44,183,45,0,1
37,73,0,0,190,0,0,0,1
161,208,44,0,40,112,56,10,1
174,9,0,0,25,92,0,0,1
242,188,209,0,83,33,100,0,2
210,108,85,0,128,14,250,0,2
239,28,187,0,74,32,250,0,2
281,202,145,0,40,146,74,0,2
263,193,0,11,59,39,0,0,2
69,47,0,0,16,83,107,0,2
124,0,0,0,0,214,62,0,1
226,0,35,0,73,81,30,0,1
186,12,118,0,0,195,0,0,1
0,196,0,46,0,17,0,0,2
0,14,0,0,111,0,0,0,2
15,64,0,51,117,0,0,0,2
0,92,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,2
5,126,0,105,0,0,0,0,2
0,170,0,0,0,0,0,0,2
2,17,0,0,0,0,0,0,2
0,0,0,0,0,64,0,0,2
41,0,0,0,2,69,0,0,2
0,0,0,0,85,0,0,0,2
0,0,0,0,0,0,0,0,1
0,0,0,0,29,29,0,0,1
0,0,0,0,0,79,0,0,1
18,0,0,0,0,87,72,0,1
12,0,0,0,60,0,0,0,2
1,0,0,0,71,14,0,0,2
0,0,0,0,0,0,0,0,2
0,0,0,0,3,0,0,0,2
264,0,167,0,0,0,0,0,1
255,99,228,0,0,0,40,0,1
289,45,89,0,0,0,250,0,1
244,13,98,0,0,0,250,0,1
285,28,185,0,0,0,129,0,1
290,48,143,0,0,0,0,0,1
280,184,0,105,0,0,0,0,1
158,196,80,62,0,0,156,0,1
168,6,0,60,0,0,0,0,2
255,85,228,31,0,202,47,0,2
300,150,292,73,0,43,0,43,2
169,201,34,92,0,0,0,0,2
238,97,193,0,0,0,0,0,2
209,89,33,0,0,0,0,0,2
43,63,0,0,0,0,0,0,2
273,101,268,166,0,0,0,0,2
300,299,222,63,0,0,0,0,2
171,88,162,26,0,0,0,0,2
290,69,262,0,0,0,32,0,1
298,8,229,0,0,0,0,0,1
293,0,274,0,0,0,0,137,1
300,250,305,179,0,0,102,0,1
134,293,92,102,0,0,56,0,1
294,57,195,0,0,0,0,0,1
300,23,365,0,0,0,0,0,1
19,0,0,0,10,135,250,0,2
85,37,0,0,0,170,250,0,2
72,34,0,0,0,131,250,0,2
47,0,0,0,74,29,250,0,2
46,53,0,0,36,34,250,0,2
25,0,0,0,0,0,229,0,2
33,61,0,0,0,0,126,0,1
48,95,0,0,0,0,0,0,1
161,13,0,0,0,0,112,0,1
190,70,0,0,0,0,250,0,1
90,62,0,0,0,0,250,0,1
128,151,0,0,0,0,239,0,1
33,77,0,0,0,0,0,0,1
150,0,0,0,0,0,122,0,2
108,0,0,0,0,0,0,0,2
262,0,205,0,0,0,0,187,2
112,0,0,0,0,0,91,0,2
222,197,165,210,0,0,47,0,2
201,211,0,100,0,0,0,0,2
151,150,26,0,0,0,0,0,2
276,11,0,0,0,0,0,0,1
285,149,240,103,0,0,0,0,1
231,119,93,0,0,0,0,0,1
232,0,47,0,0,0,40,0,1
250,180,0,0,0,0,91,0,1
178,0,0,0,0,0,0,0,1
300,84,329,0,18,30,0,28,1
143,27,0,0,38,65,0,3,1
41,14,0,0,0,218,0,88,1
0,2,0,0,0,149,0,86,1
29,43,0,29,0,134,0,222,1
290,271,169,65,10,229,0,6,1
214,150,112,0,0,117,0,0,1
110,0,0,0,0,0,8,0,2
79,0,0,0,0,0,0,0,2
222,70,0,0,0,0,0,0,2
153,60,0,0,0,0,0,0,2
138,46,0,0,0,0,0,0,2
0,91,0,0,0,0,0,0,2
6,109,0,0,0,0,0,0,2
170,142,0,154,0,0,0,0,2
69,123,0,0,0,0,0,0,2
244,70,0,0,0,0,162,0,2
224,0,0,0,0,0,36,0,1
93,0,0,0,0,0,0,0,1
290,1,178,0,0,0,83,0,1
225,0,115,0,21,99,197,0,1
60,6,0,0,0,3,0,0,1
21,0,0,0,4,0,0,0,2
86,51,0,0,0,32,0,0,2
261,111,26,19,39,0,0,0,2
294,63,310,84,87,81,58,63,2
287,59,274,0,140,0,239,0,2
